trip_id,date,city_id,passenger_type,distance_travelled(km),fare_amount,passenger_rating,driver_rating
TRPCOI251225f2f06d60,2025-12-25,TN01,repeated,16,215,6,8
TRPLUC2512258020bbe3,2025-12-25,UP01,new,19,254,9,6
TRPVAD2512250695c72f,2025-12-25,GJ02,repeated,14,158,6,7
TRPCHA2512252495ec86,2025-12-25,CH01,repeated,34,468,8,6
TRPKOC2512254c52bfed,2025-12-25,KL01,new,36,535,10,10
TRPVAD251225fe8f0fee,2025-12-25,GJ02,new,15,168,8,6
TRPKOC251225be9bdbcc,2025-12-25,KL01,new,28,423,8,8
TRPJAI251225783c89f0,2025-12-25,RJ01,new,30,547,10,8
TRPCHA25122589ed638e,2025-12-25,CH01,new,21,299,9,8
TRPKOC251225a7a6d32d,2025-12-25,KL01,repeated,14,227,9,8
TRPKOC25122582611c82,2025-12-25,KL01,new,28,423,9,8
TRPCOI25122582f52bba,2025-12-25,TN01,new,22,287,7,9
TRPSUR2512254027ecff,2025-12-25,GJ01,new,5,74,7,8
TRPSUR2512258a3e8579,2025-12-25,GJ01,repeated,16,195,7,8
TRPCHA2512256fb2aeb8,2025-12-25,CH01,repeated,25,351,9,9
TRPIND2512257d9ea1c4,2025-12-25,MP01,repeated,16,199,6,6
TRPKOC2512258e53f442,2025-12-25,KL01,new,38,563,10,8
TRPLUC251225734cac7a,2025-12-25,UP01,repeated,7,110,6,5
TRPJAI25122548140407,2025-12-25,RJ01,new,25,462,10,10
TRPIND25122509768171,2025-12-25,MP01,repeated,12,155,6,6
TRPJAI2512250b6315a0,2025-12-25,RJ01,new,19,360,9,10
TRPCOI251225c909828f,2025-12-25,TN01,new,21,275,10,9
TRPKOC251225c70b2ce6,2025-12-25,KL01,repeated,30,451,9,9
TRPLUC25122518c2ecac,2025-12-25,UP01,new,7,110,7,6
TRPVAD25122543bae288,2025-12-25,GJ02,repeated,6,78,7,7
TRPJAI251225613b41d1,2025-12-25,RJ01,repeated,35,632,8,8
TRPJAI2512259236c54c,2025-12-25,RJ01,repeated,35,632,7,9
TRPCHA25122533e9eefa,2025-12-25,CH01,repeated,12,182,8,7
TRPCHA2512254f3ed3ed,2025-12-25,CH01,repeated,12,182,8,8
TRPCHA251225a7ec1f01,2025-12-25,CH01,repeated,16,234,8,9
TRPCHA2512255b1e2ba5,2025-12-25,CH01,repeated,12,182,7,7
TRPSUR251225caae3406,2025-12-25,GJ01,repeated,16,195,7,8
TRPMYS2512257cf344b1,2025-12-25,KA01,new,16,275,8,9
TRPVAD251225b9df2a7a,2025-12-25,GJ02,repeated,10,118,6,8
TRPVIS2512257e64924f,2025-12-25,AP01,new,19,293,10,9
TRPCHA25122541f227f1,2025-12-25,CH01,repeated,34,468,7,6
TRPKOC2512258041152b,2025-12-25,KL01,new,18,283,9,8
TRPIND251225dab43b94,2025-12-25,MP01,new,16,199,7,8
TRPMYS25122550d8465a,2025-12-25,KA01,new,25,410,8,8
TRPCHA2512253fa15d16,2025-12-25,CH01,new,34,468,8,8
TRPCHA2512251d71ca6a,2025-12-25,CH01,repeated,29,403,6,6
TRPJAI2512254693e241,2025-12-25,RJ01,new,24,445,9,8
TRPJAI25122592d11479,2025-12-25,RJ01,new,28,513,10,8
TRPJAI25122536089386,2025-12-25,RJ01,repeated,32,581,8,8
TRPCHA251225e0c90735,2025-12-25,CH01,new,13,195,8,8
TRPVAD25122508ac96cc,2025-12-25,GJ02,repeated,10,118,7,8
TRPVIS2512252a287e25,2025-12-25,AP01,repeated,33,489,9,8
TRPCOI25122535dec0be,2025-12-25,TN01,repeated,13,179,7,9
TRPJAI251225d7a1bad9,2025-12-25,RJ01,repeated,16,309,7,8
TRPMYS2512253b2d91fd,2025-12-25,KA01,new,9,170,10,10
TRPCHA2512256b89bd10,2025-12-25,CH01,repeated,12,182,9,7
