trip_id,date,city_id,passenger_type,distance_travelled(km),fare_amount,passenger_rating,driver_rating
TRPVAD2512237af80e38,2025-12-23,GJ02,repeated,9,90,6,5
TRPCHA251223f0de3ae0,2025-12-23,CH01,repeated,23,233,7,9
TRPCHA251223a524848f,2025-12-23,CH01,new,35,341,9,9
TRPVIS251223ea5b5fa3,2025-12-23,AP01,repeated,10,117,8,9
TRPCHA2512237ed2ac24,2025-12-23,CH01,repeated,22,224,9,7
TRPVAD2512235e506079,2025-12-23,GJ02,new,7,74,7,6
TRPIND251223f454e4f5,2025-12-23,MP01,repeated,18,167,8,8
TRPMYS251223f2283efc,2025-12-23,KA01,repeated,17,205,8,9
TRPSUR251223a77e48be,2025-12-23,GJ01,repeated,8,83,6,5
TRPSUR251223c3f58861,2025-12-23,GJ01,repeated,5,59,5,7
TRPVIS251223c3409b58,2025-12-23,AP01,repeated,11,126,9,9
TRPLUC251223d6751f99,2025-12-23,UP01,repeated,20,206,6,5
TRPLUC251223d9523e42,2025-12-23,UP01,repeated,8,98,6,6
TRPSUR251223ff9c06a5,2025-12-23,GJ01,repeated,12,115,7,6
TRPLUC2512237d05fa53,2025-12-23,UP01,repeated,15,161,7,5
TRPLUC251223252b8ee1,2025-12-23,UP01,new,15,161,7,7
TRPKOC251223cbcf0cee,2025-12-23,KL01,new,22,273,10,10
TRPSUR251223e78bfa7b,2025-12-23,GJ01,repeated,5,59,6,8
TRPKOC2512230b91bfe8,2025-12-23,KL01,repeated,29,350,8,8
TRPLUC251223cc8b6d20,2025-12-23,UP01,repeated,6,80,7,8
TRPLUC2512239d8e3557,2025-12-23,UP01,repeated,18,188,6,6
TRPVIS251223dac8f096,2025-12-23,AP01,repeated,22,225,8,8
TRPJAI2512236216bbe6,2025-12-23,RJ01,new,15,217,10,10
TRPLUC25122359a0ce41,2025-12-23,UP01,repeated,6,80,6,8
TRPLUC25122324eabcdb,2025-12-23,UP01,repeated,5,71,7,7
TRPSUR2512231192080e,2025-12-23,GJ01,repeated,5,59,5,7
TRPKOC251223dc472d44,2025-12-23,KL01,repeated,24,295,7,8
TRPMYS251223e106486a,2025-12-23,KA01,new,24,275,9,8
TRPSUR25122321751986,2025-12-23,GJ01,repeated,5,59,7,7
TRPLUC251223bccc3191,2025-12-23,UP01,repeated,18,188,6,7
TRPLUC251223312512a3,2025-12-23,UP01,repeated,13,143,7,6
TRPJAI2512234f266f81,2025-12-23,RJ01,repeated,21,289,7,10
TRPVAD2512235aee22a1,2025-12-23,GJ02,repeated,16,146,6,6
TRPSUR251223eef4d8e9,2025-12-23,GJ01,repeated,6,67,5,5
TRPCOI25122369c88188,2025-12-23,TN01,new,17,159,9,8
TRPKOC25122360420e45,2025-12-23,KL01,new,13,174,9,9
TRPKOC2512238e938fee,2025-12-23,KL01,repeated,37,438,9,9
TRPLUC2512239bf4020c,2025-12-23,UP01,new,17,179,7,7
TRPSUR2512231879062d,2025-12-23,GJ01,repeated,13,123,6,5
TRPJAI251223482edd2d,2025-12-23,RJ01,new,18,253,10,9
TRPLUC251223ccc3e16f,2025-12-23,UP01,repeated,13,143,7,7
TRPJAI2512232d29dc6a,2025-12-23,RJ01,repeated,23,313,9,8
TRPLUC251223655b3890,2025-12-23,UP01,repeated,20,206,7,6
TRPSUR251223a7cfc3e2,2025-12-23,GJ01,repeated,14,131,5,6
TRPIND251223d28478b8,2025-12-23,MP01,repeated,19,175,7,7
TRPLUC251223e2050d8d,2025-12-23,UP01,repeated,13,143,6,6
TRPJAI25122308d8074d,2025-12-23,RJ01,new,35,457,8,9
TRPKOC251223388455e3,2025-12-23,KL01,new,16,207,10,8
TRPCHA251223e50a3427,2025-12-23,CH01,repeated,33,323,9,6
TRPKOC2512235ed08e67,2025-12-23,KL01,repeated,26,317,8,9
TRPLUC2512235448abc1,2025-12-23,UP01,new,11,125,7,6
TRPIND251223fa844e9f,2025-12-23,MP01,new,24,215,9,8
TRPJAI251223a0698dfd,2025-12-23,RJ01,repeated,25,337,7,8
TRPIND251223eb9c39a3,2025-12-23,MP01,new,12,119,8,7
TRPVAD25122374c0b1c8,2025-12-23,GJ02,repeated,13,122,5,5
TRPSUR251223513f3f24,2025-12-23,GJ01,repeated,17,155,6,6
TRPKOC251223217d18a0,2025-12-23,KL01,repeated,33,394,7,8
TRPLUC25122316b6da6a,2025-12-23,UP01,repeated,5,71,6,8
TRPKOC251223b59594a1,2025-12-23,KL01,repeated,18,229,8,8
TRPVAD251223e1d9bd1e,2025-12-23,GJ02,repeated,12,114,5,5
TRPCOI251223d690f4c4,2025-12-23,TN01,new,20,183,10,7
TRPKOC2512234ff24df6,2025-12-23,KL01,repeated,12,163,9,9
TRPLUC2512230431d774,2025-12-23,UP01,repeated,17,179,6,8
TRPJAI251223993921c3,2025-12-23,RJ01,new,27,361,10,8
TRPKOC251223bb71be3a,2025-12-23,KL01,repeated,13,174,8,10
TRPLUC251223086b6de9,2025-12-23,UP01,new,10,116,9,6
TRPIND25122311d19a72,2025-12-23,MP01,new,8,87,7,9
TRPLUC25122316293c92,2025-12-23,UP01,repeated,14,152,6,7
TRPVIS25122389507419,2025-12-23,AP01,repeated,12,135,8,10
TRPCOI25122352f8f736,2025-12-23,TN01,repeated,20,183,8,7
TRPSUR251223384b38e1,2025-12-23,GJ01,repeated,12,115,7,8
TRPSUR25122357d4e5ba,2025-12-23,GJ01,repeated,16,147,5,6
TRPCHA251223a4eaa545,2025-12-23,CH01,new,30,296,9,7
TRPIND251223004a9d65,2025-12-23,MP01,repeated,23,207,9,8
TRPSUR25122365c1b8ec,2025-12-23,GJ01,new,15,139,9,6
TRPSUR25122334385325,2025-12-23,GJ01,repeated,7,75,6,8
TRPVAD251223495b6a71,2025-12-23,GJ02,new,10,98,9,8
TRPKOC25122364a532fc,2025-12-23,KL01,new,14,185,10,9
TRPLUC251223f5463998,2025-12-23,UP01,new,8,98,9,7
TRPLUC25122329437a4a,2025-12-23,UP01,repeated,14,152,6,8
TRPIND2512236c35c432,2025-12-23,MP01,new,16,151,10,7
TRPJAI251223a439c83f,2025-12-23,RJ01,repeated,25,337,9,10
TRPLUC2512231ff83eac,2025-12-23,UP01,repeated,17,179,6,8
TRPSUR2512231dec1430,2025-12-23,GJ01,repeated,8,83,6,8
TRPMYS251223b2652064,2025-12-23,KA01,new,12,155,10,8
TRPVIS25122329305614,2025-12-23,AP01,new,11,126,8,9
TRPIND25122378a602c9,2025-12-23,MP01,repeated,21,191,7,7
TRPKOC2512235b728971,2025-12-23,KL01,repeated,38,449,8,9
TRPCHA2512237c4177c7,2025-12-23,CH01,new,17,179,8,7
TRPCHA25122398b2fed6,2025-12-23,CH01,new,14,152,7,8
TRPCHA251223709fbf05,2025-12-23,CH01,repeated,26,260,7,6
TRPLUC25122363653885,2025-12-23,UP01,repeated,19,197,5,6
TRPLUC2512238a8acd61,2025-12-23,UP01,new,14,152,7,7
TRPVIS251223db5bcbd4,2025-12-23,AP01,new,17,180,9,10
TRPVAD25122300b986bb,2025-12-23,GJ02,repeated,8,82,6,5
TRPSUR2512236dd7eab2,2025-12-23,GJ01,repeated,15,139,6,5
TRPLUC251223c69d100a,2025-12-23,UP01,repeated,19,197,6,6
TRPSUR2512239ec3b1b5,2025-12-23,GJ01,repeated,12,115,6,5
TRPCOI2512239c788691,2025-12-23,TN01,repeated,21,191,8,9
TRPLUC25122381bc9b8b,2025-12-23,UP01,repeated,16,170,7,5
TRPVIS251223afca5ade,2025-12-23,AP01,repeated,25,252,8,9
TRPCOI2512231cf05d0c,2025-12-23,TN01,new,11,111,7,7
TRPSUR2512230abb2bcc,2025-12-23,GJ01,repeated,13,123,7,5
TRPIND251223ece0a9c1,2025-12-23,MP01,repeated,22,199,6,6
TRPVIS25122351beaec4,2025-12-23,AP01,repeated,35,342,7,10
TRPSUR251223348cc109,2025-12-23,GJ01,repeated,5,59,6,5
TRPCOI251223257368b4,2025-12-23,TN01,new,10,103,9,9
TRPVAD2512236371cb19,2025-12-23,GJ02,repeated,5,58,5,7
TRPJAI2512232efe79db,2025-12-23,RJ01,new,22,301,10,9
TRPKOC251223ad52cc40,2025-12-23,KL01,repeated,33,394,8,8
TRPSUR251223193f2d30,2025-12-23,GJ01,repeated,17,155,7,6
TRPJAI2512233438a60a,2025-12-23,RJ01,repeated,37,481,8,8
TRPCOI251223783ad027,2025-12-23,TN01,repeated,11,111,7,6
TRPVAD25122322869f47,2025-12-23,GJ02,new,13,122,9,8
TRPLUC2512233634af99,2025-12-23,UP01,repeated,7,89,5,5
TRPLUC251223bdcc30f5,2025-12-23,UP01,repeated,19,197,5,7
TRPLUC251223ea66a442,2025-12-23,UP01,repeated,6,80,5,8
TRPLUC2512231a47329e,2025-12-23,UP01,repeated,16,170,7,8
TRPKOC25122324752ee9,2025-12-23,KL01,repeated,19,240,9,8
TRPSUR25122395fa91be,2025-12-23,GJ01,repeated,7,75,6,6
TRPIND251223c6e132f5,2025-12-23,MP01,repeated,10,103,9,6
TRPKOC251223a0e6388b,2025-12-23,KL01,repeated,20,251,7,10
TRPCHA251223a5d35b92,2025-12-23,CH01,new,27,269,7,7
TRPLUC251223a8f5cfb6,2025-12-23,UP01,repeated,19,197,5,6
TRPVIS2512234835f3e9,2025-12-23,AP01,repeated,30,297,7,10
TRPLUC251223d4ad8de2,2025-12-23,UP01,repeated,13,143,7,8
TRPKOC2512233c18456e,2025-12-23,KL01,new,12,163,8,9
TRPVIS25122346382cff,2025-12-23,AP01,new,31,306,10,10
TRPCHA251223625fad1a,2025-12-23,CH01,repeated,22,224,8,6
TRPCOI251223e65a1543,2025-12-23,TN01,new,22,199,7,8
TRPVIS25122395d123d9,2025-12-23,AP01,repeated,35,342,7,9
TRPSUR2512236a1e3c71,2025-12-23,GJ01,repeated,9,91,5,6
TRPSUR251223eb995f0e,2025-12-23,GJ01,repeated,12,115,6,5
TRPLUC2512239106732c,2025-12-23,UP01,repeated,9,107,5,5
TRPSUR251223061e3aef,2025-12-23,GJ01,repeated,8,83,7,8
TRPIND251223b8adb435,2025-12-23,MP01,repeated,15,143,6,7
TRPLUC2512235a93ce21,2025-12-23,UP01,new,10,116,7,8
TRPKOC25122391d002b7,2025-12-23,KL01,repeated,23,284,9,8
TRPLUC251223d1b33751,2025-12-23,UP01,repeated,16,170,7,8
TRPVAD251223bab2776f,2025-12-23,GJ02,repeated,15,138,5,7
TRPLUC25122327ac081d,2025-12-23,UP01,repeated,12,134,6,5
TRPJAI251223b97ffa22,2025-12-23,RJ01,new,34,445,10,10
