trip_id,date,city_id,passenger_type,distance_travelled(km),fare_amount,passenger_rating,driver_rating
TRPLUC251222b9bd42e6,2025-12-22,UP01,repeated,16,170,6,8
TRPSUR251222b873c0e5,2025-12-22,GJ01,repeated,12,115,5,8
TRPCHA2512221be7c5d0,2025-12-22,CH01,repeated,32,314,7,7
TRPIND2512224f7db469,2025-12-22,MP01,repeated,13,127,7,9
TRPVIS251222fdbabbbf,2025-12-22,AP01,repeated,32,315,9,10
TRPCOI25122208e1450e,2025-12-22,TN01,repeated,16,151,9,9
TRPJAI251222c22e0bd6,2025-12-22,RJ01,new,35,457,9,10
TRPKOC2512224d8a1a7b,2025-12-22,KL01,new,25,306,8,8
TRPIND251222ec96a70e,2025-12-22,MP01,repeated,9,95,8,6
TRPVIS251222406a474b,2025-12-22,AP01,repeated,33,324,7,9
TRPLUC251222ed349bd5,2025-12-22,UP01,repeated,7,89,5,6
TRPSUR251222ab44fc2c,2025-12-22,GJ01,repeated,12,115,6,8
TRPLUC25122274dc2eea,2025-12-22,UP01,repeated,6,80,5,8
TRPLUC25122219ec6ef5,2025-12-22,UP01,new,14,152,7,8
TRPVAD2512220ecc90d5,2025-12-22,GJ02,new,9,90,8,7
TRPLUC251222da19daaf,2025-12-22,UP01,repeated,9,107,7,8
TRPVIS25122252decb62,2025-12-22,AP01,repeated,11,126,7,10
TRPIND2512225032ff83,2025-12-22,MP01,repeated,17,159,7,8
TRPCOI25122222dfba56,2025-12-22,TN01,repeated,11,111,7,7
TRPSUR2512228cebfd2d,2025-12-22,GJ01,new,9,91,8,8
TRPVAD251222172113d6,2025-12-22,GJ02,repeated,9,90,7,6
TRPSUR251222093705ae,2025-12-22,GJ01,repeated,5,59,6,8
TRPSUR2512224ce53fe6,2025-12-22,GJ01,new,11,107,9,6
TRPMYS25122258102025,2025-12-22,KA01,new,15,185,10,9
TRPCOI2512224f893cfb,2025-12-22,TN01,repeated,10,103,7,7
TRPCHA251222ab7daff9,2025-12-22,CH01,new,26,260,9,8
TRPVIS2512221f6b5de5,2025-12-22,AP01,repeated,10,117,8,9
TRPKOC251222d0134ba5,2025-12-22,KL01,repeated,21,262,7,9
TRPLUC2512227bfff2c0,2025-12-22,UP01,repeated,10,116,7,8
TRPVIS251222659a1427,2025-12-22,AP01,repeated,24,243,7,8
TRPKOC251222ee4689b3,2025-12-22,KL01,repeated,30,361,8,8
TRPCOI2512227cc84472,2025-12-22,TN01,repeated,14,135,7,9
TRPLUC2512229d75d3fa,2025-12-22,UP01,repeated,7,89,7,6
TRPJAI25122287b14a11,2025-12-22,RJ01,repeated,26,349,9,9
TRPVAD2512225f1d7d84,2025-12-22,GJ02,repeated,6,66,6,5
TRPVIS251222446fafa8,2025-12-22,AP01,repeated,18,189,7,9
TRPLUC2512221c5f4dcd,2025-12-22,UP01,repeated,12,134,5,5
TRPVAD2512224d693c23,2025-12-22,GJ02,repeated,7,74,5,5
TRPVIS25122248ca2c4d,2025-12-22,AP01,new,26,261,9,10
TRPLUC251222af96b3c9,2025-12-22,UP01,repeated,20,206,6,7
TRPIND251222b8e87f22,2025-12-22,MP01,repeated,22,199,7,9
TRPVIS251222522358ed,2025-12-22,AP01,repeated,12,135,8,9
TRPJAI2512224a62a64f,2025-12-22,RJ01,new,22,301,10,9
TRPVAD2512223adb3b66,2025-12-22,GJ02,repeated,10,98,5,8
TRPJAI251222af65677d,2025-12-22,RJ01,repeated,41,529,9,10
TRPKOC25122237d5d770,2025-12-22,KL01,repeated,31,372,8,9
TRPKOC251222147bd9bd,2025-12-22,KL01,repeated,10,141,8,8
TRPJAI251222a0b473ab,2025-12-22,RJ01,repeated,22,301,9,10
TRPIND251222ff4e86c4,2025-12-22,MP01,repeated,23,207,7,8
TRPJAI2512221fb46eda,2025-12-22,RJ01,repeated,39,505,8,9
TRPCOI2512225f9d8255,2025-12-22,TN01,new,11,111,8,8
TRPJAI25122283416378,2025-12-22,RJ01,new,37,481,9,8
TRPJAI251222576fc75b,2025-12-22,RJ01,repeated,40,517,7,10
TRPKOC2512220c13428f,2025-12-22,KL01,repeated,19,240,7,9
TRPSUR25122279e5edb7,2025-12-22,GJ01,new,17,155,7,7
TRPIND25122239862ada,2025-12-22,MP01,repeated,13,127,9,9
TRPKOC251222891a4b9a,2025-12-22,KL01,new,25,306,10,10
TRPSUR251222c74cd7e1,2025-12-22,GJ01,repeated,13,123,5,6
TRPSUR251222aecddbc9,2025-12-22,GJ01,repeated,9,91,6,6
TRPVIS2512221a893369,2025-12-22,AP01,new,21,216,10,9
