trip_id,date,city_id,passenger_type,distance_travelled(km),fare_amount,passenger_rating,driver_rating
TRPIND251224f3170da7,2025-12-24,MP01,repeated,12,155,7,8
TRPSUR251224dd35266d,2025-12-24,GJ01,new,15,184,8,7
TRPJAI25122451103fa3,2025-12-24,RJ01,new,17,326,9,8
TRPKOC25122414de28aa,2025-12-24,KL01,new,26,395,10,9
TRPSUR2512247169f69f,2025-12-24,GJ01,repeated,7,96,5,5
TRPVAD251224c1410a20,2025-12-24,GJ02,repeated,18,198,5,5
TRPSUR251224d5dbf3cf,2025-12-24,GJ01,new,8,107,9,6
TRPJAI251224f7688ce1,2025-12-24,RJ01,repeated,42,751,7,9
TRPKOC251224eef81f57,2025-12-24,KL01,new,37,549,9,8
TRPLUC25122431a92cb2,2025-12-24,UP01,repeated,10,146,7,5
TRPKOC251224256d6d3f,2025-12-24,KL01,new,20,311,8,9
TRPKOC251224904b6341,2025-12-24,KL01,new,23,353,9,10
TRPKOC251224f7f4fe72,2025-12-24,KL01,new,11,185,8,9
TRPIND2512246ae148cc,2025-12-24,MP01,repeated,11,144,7,7
TRPJAI2512246ff13380,2025-12-24,RJ01,new,34,615,9,10
TRPCHA25122407a85f2b,2025-12-24,CH01,repeated,12,182,8,7
TRPCOI251224c77e080f,2025-12-24,TN01,new,14,191,7,9
TRPIND251224997d8366,2025-12-24,MP01,repeated,12,155,9,9
TRPCHA251224c792ac6b,2025-12-24,CH01,repeated,22,312,8,8
TRPVIS251224784c2230,2025-12-24,AP01,new,23,349,8,9
TRPCHA251224feed20ab,2025-12-24,CH01,new,29,403,8,8
TRPLUC2512241883ceaf,2025-12-24,UP01,repeated,7,110,5,7
TRPLUC251224a954c67b,2025-12-24,UP01,repeated,19,254,7,5
TRPIND251224da021559,2025-12-24,MP01,repeated,14,177,8,9
TRPIND2512246d673d54,2025-12-24,MP01,repeated,15,188,8,8
TRPCHA251224df7a517e,2025-12-24,CH01,new,33,455,10,9
TRPKOC2512247043d791,2025-12-24,KL01,repeated,20,311,9,8
TRPCHA251224a08cde67,2025-12-24,CH01,new,21,299,7,8
TRPLUC2512242aa95581,2025-12-24,UP01,repeated,18,242,5,8
TRPSUR251224febbf911,2025-12-24,GJ01,new,10,129,8,7
TRPJAI2512240cbb2538,2025-12-24,RJ01,new,19,360,8,8
TRPJAI2512249d0bf1e1,2025-12-24,RJ01,new,39,700,9,9
TRPKOC25122455b84362,2025-12-24,KL01,repeated,15,241,8,10
TRPKOC251224388aaa72,2025-12-24,KL01,new,21,325,8,8
TRPCHA2512247633bb44,2025-12-24,CH01,new,18,260,7,9
TRPVIS251224bfc3030c,2025-12-24,AP01,repeated,31,461,9,9
TRPCHA25122434031602,2025-12-24,CH01,new,28,390,8,7
TRPJAI25122450999ddd,2025-12-24,RJ01,new,16,309,10,8
TRPJAI251224b8956fe9,2025-12-24,RJ01,repeated,33,598,7,10
TRPMYS25122430813789,2025-12-24,KA01,new,16,275,10,10
TRPSUR251224abec2738,2025-12-24,GJ01,repeated,16,195,5,6
TRPVIS2512242d2c51eb,2025-12-24,AP01,new,16,251,8,8
TRPKOC251224661fecf7,2025-12-24,KL01,repeated,22,339,7,9
TRPIND2512248186d3ad,2025-12-24,MP01,new,25,298,9,9
TRPCHA251224124cf18d,2025-12-24,CH01,new,23,325,9,7
TRPKOC25122461d92540,2025-12-24,KL01,new,15,241,9,8
TRPLUC251224d4527adc,2025-12-24,UP01,repeated,8,122,6,8
TRPJAI251224dac91fd7,2025-12-24,RJ01,new,30,547,9,9
TRPJAI251224b31d13ae,2025-12-24,RJ01,new,35,632,10,9
TRPVIS25122459bd1fc4,2025-12-24,AP01,new,12,195,9,10
TRPMYS2512240ba05763,2025-12-24,KA01,new,9,170,8,8
TRPCOI251224ba3b1801,2025-12-24,TN01,new,15,203,9,9
TRPIND2512240cd37c09,2025-12-24,MP01,repeated,15,188,7,9
TRPKOC251224901a2dc1,2025-12-24,KL01,new,13,213,8,10
TRPMYS2512240e793634,2025-12-24,KA01,new,22,365,9,8
TRPMYS251224ab6a18a6,2025-12-24,KA01,repeated,13,230,8,9
TRPLUC251224b7b474d3,2025-12-24,UP01,repeated,17,230,7,7
TRPKOC2512242f1e707d,2025-12-24,KL01,new,10,171,9,8
TRPIND2512244d5b73f7,2025-12-24,MP01,repeated,23,276,6,7
TRPVAD2512249f40138e,2025-12-24,GJ02,repeated,16,178,7,5
TRPKOC251224d18daef6,2025-12-24,KL01,repeated,10,171,9,10
TRPKOC2512246e0c46c2,2025-12-24,KL01,new,22,339,9,9
TRPJAI2512241ac7c68b,2025-12-24,RJ01,repeated,36,649,7,9
TRPLUC251224deb14d17,2025-12-24,UP01,new,9,134,8,7
TRPIND25122450473d25,2025-12-24,MP01,new,22,265,7,8
TRPCHA251224a99d2e79,2025-12-24,CH01,new,17,247,8,9
TRPIND2512242919afbf,2025-12-24,MP01,new,13,166,9,9
TRPCHA251224e2f3d6ba,2025-12-24,CH01,new,27,377,8,8
TRPKOC251224220cfdec,2025-12-24,KL01,new,36,535,9,8
TRPSUR251224fa13e9f3,2025-12-24,GJ01,new,17,206,8,7
TRPIND2512242586758b,2025-12-24,MP01,repeated,10,133,9,9
TRPCOI2512243173ef90,2025-12-24,TN01,repeated,17,227,9,7
TRPVIS25122436861ab2,2025-12-24,AP01,repeated,34,503,9,9
TRPJAI2512240969296d,2025-12-24,RJ01,new,39,700,9,8
TRPSUR2512240be10c6c,2025-12-24,GJ01,repeated,5,74,6,7
TRPVAD25122439792702,2025-12-24,GJ02,repeated,10,118,6,6
TRPJAI2512249f508f8e,2025-12-24,RJ01,repeated,37,666,9,9
TRPMYS25122436734eaf,2025-12-24,KA01,new,21,350,9,8
TRPSUR25122450185aee,2025-12-24,GJ01,repeated,5,74,7,7
TRPKOC2512248f8729be,2025-12-24,KL01,new,33,493,9,10
TRPIND251224c157173d,2025-12-24,MP01,repeated,16,199,9,7
TRPIND251224922c8b21,2025-12-24,MP01,new,15,188,7,8
TRPKOC25122450b94a2c,2025-12-24,KL01,new,25,381,8,9
TRPSUR251224bc492ff9,2025-12-24,GJ01,repeated,12,151,6,7
TRPSUR2512245439aa1a,2025-12-24,GJ01,repeated,8,107,5,7
TRPLUC251224215021be,2025-12-24,UP01,new,10,146,8,6
TRPKOC2512244d520913,2025-12-24,KL01,repeated,34,507,9,10
TRPLUC251224c03a432a,2025-12-24,UP01,repeated,14,194,7,5
TRPJAI251224992b2177,2025-12-24,RJ01,repeated,37,666,8,9
TRPLUC251224d170e7b6,2025-12-24,UP01,new,13,182,8,7
TRPVAD25122477fa3891,2025-12-24,GJ02,repeated,11,128,6,6
TRPJAI251224c6cca237,2025-12-24,RJ01,repeated,26,479,7,10
TRPKOC251224432af0a8,2025-12-24,KL01,new,17,269,8,8
TRPSUR251224bc083133,2025-12-24,GJ01,repeated,16,195,7,8
TRPCHA25122494296084,2025-12-24,CH01,new,12,182,7,8
TRPVAD251224aa5209e2,2025-12-24,GJ02,repeated,18,198,7,6
TRPKOC251224859cdc21,2025-12-24,KL01,repeated,36,535,9,9
TRPLUC2512240030ba28,2025-12-24,UP01,repeated,13,182,6,5
TRPLUC251224fddaf6ee,2025-12-24,UP01,repeated,14,194,7,7
TRPCHA25122468f856d4,2025-12-24,CH01,repeated,18,260,6,7
TRPKOC251224d251bfb4,2025-12-24,KL01,new,17,269,8,10
TRPVAD2512249fd80ab8,2025-12-24,GJ02,repeated,8,98,6,5
TRPVIS25122428fde3e6,2025-12-24,AP01,new,32,475,10,10
TRPCHA251224e2cda5b8,2025-12-24,CH01,new,31,429,10,9
TRPVIS251224b4a93ff7,2025-12-24,AP01,new,22,335,9,10
TRPJAI2512242c23c740,2025-12-24,RJ01,new,30,547,8,10
TRPJAI251224402bef5d,2025-12-24,RJ01,new,25,462,8,8
TRPJAI251224d345145f,2025-12-24,RJ01,new,22,411,10,9
TRPJAI251224670f4e6d,2025-12-24,RJ01,new,32,581,9,8
TRPVAD251224d970889d,2025-12-24,GJ02,new,15,168,9,6
TRPVIS251224bf9baadb,2025-12-24,AP01,new,15,237,10,8
TRPKOC251224d3a7c9b5,2025-12-24,KL01,repeated,30,451,9,10
TRPIND25122436f024a4,2025-12-24,MP01,repeated,17,210,8,9
TRPCHA251224cbaceab3,2025-12-24,CH01,new,26,364,7,8
TRPJAI25122425c288b5,2025-12-24,RJ01,repeated,19,360,7,9
TRPSUR251224f877f238,2025-12-24,GJ01,new,8,107,8,8
TRPJAI2512242e88aa09,2025-12-24,RJ01,new,40,717,9,9
TRPKOC251224fc1b2d05,2025-12-24,KL01,new,15,241,9,9
